Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering
0x0f49eb9ad05a1643ba5d5e44367b0331f08e2bc3,0x0f49eb9ad05a1643ba5d5e44367b0331f08e2bc3,,5,0,5,28,0,28,0,0,0,0,0.001543,0,0.000028,0,2081,27,29,0
0xfef0604d91645e8db1e385ba93192158e42ed2a8,0xfef0604d91645e8db1e385ba93192158e42ed2a8,,5,3,8,38,14,52,7,0.280598,0.299043,478.482213,0.001543,0.000002,0.000028,0,10613,27,29,0
0x674733970fcada8d0fab05e88b33b6e7daac75fa,0x674733970fcada8d0fab05e88b33b6e7daac75fa,,5,0,5,31,0,31,0,0,0,0,0.001543,0,0.000028,0,2723,27,29,0
0xb903d318736abf126f393da86bcef26a8c9cd108,0xb903d318736abf126f393da86bcef26a8c9cd108,,5,0,5,30,0,30,0,0,0,0,0.012338,0,0.000031,0,5126,27,29,0
0x5558cd15c38ec7ef7cb73cb46e9aea7c7f3c191c,0x5558cd15c38ec7ef7cb73cb46e9aea7c7f3c191c,,2,2,4,2,3,5,1,1,1,313.379171,0.000136,0.000002,0.000031,0,9038,24,105,0.333333
0x59c50a3b3c3b174aaedd5bfb2be78ad402f8d622,0x59c50a3b3c3b174aaedd5bfb2be78ad402f8d622,,5,0,5,8,0,8,0,0,0,0,0.001543,0,0.000028,0,2306,27,29,0
0x45d7d147280bed1d4bb8c5bdadc24365080ee7a7,0x45d7d147280bed1d4bb8c5bdadc24365080ee7a7,,5,0,5,70,0,70,0,0,0,0,0.012631,0,0.000028,0,2305,27,29,0.2
0x053303521ebd0d2214c461e5ba39e61bc5ea200e,0x053303521ebd0d2214c461e5ba39e61bc5ea200e,,3,0,3,22,0,22,0,0,0,0,0.000926,0,0.000028,0,2080,27,29,0
0x90321336e4cc0bfd4cf3115b917bd4b06a04a270,0x90321336e4cc0bfd4cf3115b917bd4b06a04a270,,6,2,8,130,52,182,8,0.2185,0.238186,8.96634,0.007112,0,0.000036,0,10613,27,29,0.142857
0x3578e46c2f74aee478ce7751491fce31ea25799f,0x3578e46c2f74aee478ce7751491fce31ea25799f,,5,0,5,87,0,87,0,0,0,0,0.001543,0,0.000028,0,3089,27,29,0
